

Measurement ID;3914
Battery name;NCR18650PF_SN002
Battery Name;NCR
Circuit;Circ006
Program;458 - Pan_5pulse_EIS_0dC
Start Time;6/28/2017 9:12:23 AM
End Time;6/30/2017 5:53:32 AM
Test section;EIS00004
Comment;-20degC EIS
OrderNo;
Producer; Panasonic
Type; NCR
Nominal Voltage; 3.7
Nominal Current; 0
Nominal Capacity; 2.9
Cells; 1
Maximum Voltage; 4.25
Gassing Voltage; 4.3
Break Voltage; 0
Charge Factor; 0
Impedance; 0
Cold Cranking Current; 15
Energy Density; 0
Comment;



Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhAccu;Energy;StartFreq;EndFreq;SetFreq;AAcMax;VAcMin;VAcMax;mvIdeal;Go;Status;U1;Zreal1;Zimg1;ActFreq;EisError;AACStart;MinIntervalTime;CountOfPeriods;UIdeal;AStart;MinDuration;MinPeriods;RemTime;VRelativ;AAmplitude;Betrag;Phase;ChamberT;ChamberSP;Temp45;
6/28/2017 11:28:49 PM;52;EIS;14:16:20.386;00:01:59.111;2;1;Pan_5pulse_EIS_0dC;3.87837;0.00000;-0.58002;;0.00100;6000.00000;449.93653;2.00000;-2.00000;20.00000;10.00000;10.00000;16.00000;3.87501;36.37994;-6.31845;450.70422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03315;0.27980;36.92455;-9.85282;-20.00000;-20.00000;-17.35030;
6/28/2017 11:29:00 PM;52;EIS;14:16:31.879;00:02:10.604;2;1;Pan_5pulse_EIS_0dC;3.87837;0.00000;-0.58002;;0.00100;6000.00000;337.40480;2.00000;-2.00000;20.00000;10.00000;11.00000;16.00000;3.88527;37.58853;-7.39804;336.84210;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03738;0.27079;38.30964;-11.13443;-20.00000;-20.00000;-17.36151;
6/28/2017 11:29:12 PM;52;EIS;14:16:43.664;00:02:22.389;2;1;Pan_5pulse_EIS_0dC;3.87837;0.00000;-0.58002;;0.00100;6000.00000;253.01790;2.00000;-2.00000;20.00000;10.00000;12.00000;16.00000;3.87596;38.93725;-8.51367;253.29816;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03738;0.26099;39.85715;-12.33367;-20.00000;-20.00000;-17.35030;
6/28/2017 11:29:24 PM;52;EIS;14:16:55.803;00:02:34.528;2;1;Pan_5pulse_EIS_0dC;3.87837;0.00000;-0.58002;;0.00100;6000.00000;189.73666;2.00000;-2.00000;20.00000;10.00000;13.00000;16.00000;3.88344;40.48376;-9.71735;189.72333;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04548;0.25111;41.63366;-13.49740;-20.00000;-20.00000;-17.36151;
6/28/2017 11:29:36 PM;52;EIS;14:17:07.475;00:02:46.200;2;1;Pan_5pulse_EIS_0dC;3.87837;0.00000;-0.58002;;0.00100;6000.00000;142.28242;2.00000;-2.00000;20.00000;10.00000;14.00000;16.00000;3.88046;42.21510;-10.99896;142.43323;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04719;0.24005;43.62444;-14.60349;-20.00000;-20.00000;-17.36151;
6/28/2017 11:29:48 PM;52;EIS;14:17:19.433;00:02:58.158;2;1;Pan_5pulse_EIS_0dC;3.87901;0.00000;-0.58002;;0.00100;6000.00000;106.69676;2.00000;-2.00000;20.00000;10.00000;15.00000;16.00000;3.88056;44.18449;-12.37769;106.66666;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05160;0.22918;45.88547;-15.64950;-20.00000;-20.00000;-17.36151;
6/28/2017 11:29:59 PM;52;EIS;14:17:30.912;00:03:09.637;2;1;Pan_5pulse_EIS_0dC;3.87901;0.00000;-0.58002;;0.00100;6000.00000;80.01129;2.00000;-2.00000;20.00000;10.00000;16.00000;16.00000;3.87335;46.40428;-13.85288;80.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05160;0.21794;48.42788;-16.62173;-20.00000;-20.00000;-17.35030;
6/28/2017 11:30:11 PM;52;EIS;14:17:42.791;00:03:21.516;2;1;Pan_5pulse_EIS_0dC;3.87901;0.00000;-0.58002;;0.00100;6000.00000;60.00000;2.00000;-2.00000;20.00000;10.00000;17.00000;16.00000;3.88085;48.88520;-15.43962;60.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05908;0.20659;51.26543;-17.52790;-20.00000;-20.00000;-17.36151;
6/28/2017 11:30:23 PM;52;EIS;14:17:54.162;00:03:32.887;2;1;Pan_5pulse_EIS_0dC;3.87901;0.00000;-0.58002;;0.00100;6000.00000;44.99365;2.00000;-2.00000;20.00000;10.00000;18.00000;16.00000;3.87656;51.66756;-17.14347;44.94382;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06179;0.19505;54.43745;-18.35602;-20.00000;-20.00000;-17.36151;
6/28/2017 11:30:34 PM;52;EIS;14:18:05.855;00:03:44.580;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;33.74048;2.00000;-2.00000;20.00000;10.00000;19.00000;16.00000;3.88892;54.72826;-18.95733;33.70787;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06367;0.18365;57.91859;-19.10558;-20.00000;-20.00000;-17.15976;
6/28/2017 11:30:47 PM;52;EIS;14:18:18.100;00:03:56.825;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;25.30179;2.00000;-2.00000;20.00000;10.00000;20.00000;16.00000;3.87898;58.08386;-20.89050;25.31646;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06526;0.17258;61.72640;-19.78168;-20.00000;-20.00000;-17.36151;
6/28/2017 11:30:58 PM;52;EIS;14:18:29.664;00:04:08.389;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;18.97367;2.00000;-2.00000;20.00000;10.00000;21.00000;16.00000;3.88123;61.79174;-22.98008;18.98734;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06861;0.16209;65.92650;-20.39995;-20.00000;-20.00000;-17.36151;
6/28/2017 11:31:10 PM;52;EIS;14:18:41.550;00:04:20.275;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;14.22824;2.00000;-2.00000;20.00000;10.00000;22.00000;16.00000;3.88572;65.85579;-25.24887;14.21801;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06964;0.15166;70.53007;-20.97664;-20.00000;-20.00000;-17.35030;
6/28/2017 11:31:22 PM;52;EIS;14:18:53.083;00:04:31.808;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;10.66968;2.00000;-2.00000;20.00000;10.00000;23.00000;16.00000;3.87509;70.22642;-27.67885;10.67616;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07038;0.14180;75.48423;-21.51125;-20.00000;-20.00000;-17.35030;
6/28/2017 11:31:33 PM;52;EIS;14:19:04.775;00:04:43.500;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;8.00113;2.00000;-2.00000;20.00000;10.00000;24.00000;16.00000;3.88155;75.00601;-30.40132;8.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07249;0.13252;80.93295;-22.06362;-20.00000;-20.00000;-17.35030;
6/28/2017 11:31:46 PM;52;EIS;14:19:16.963;00:04:55.688;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;6.00000;2.00000;-2.00000;20.00000;10.00000;25.00000;16.00000;3.87191;80.13444;-33.41588;6.00000;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07220;0.12349;86.82251;-22.63603;-20.00000;-20.00000;-17.36151;
6/28/2017 11:31:57 PM;52;EIS;14:19:28.553;00:05:07.278;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;4.49937;2.00000;-2.00000;20.00000;10.00000;26.00000;16.00000;3.88170;85.75623;-36.84590;4.50450;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07566;0.11525;93.33676;-23.25119;-20.00000;-20.00000;-17.35030;
6/28/2017 11:32:09 PM;52;EIS;14:19:40.612;00:05:19.337;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;3.37405;2.00000;-2.00000;20.00000;10.00000;27.00000;16.00000;3.88184;91.99220;-40.75374;3.37079;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07798;0.10714;100.61527;-23.89396;-20.00000;-20.00000;-17.35030;
6/28/2017 11:32:21 PM;52;EIS;14:19:52.053;00:05:30.778;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;2.53018;2.00000;-2.00000;20.00000;10.00000;28.00000;16.00000;3.89085;98.77460;-45.12487;2.53378;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07928;0.09939;108.59408;-24.55315;-20.00000;-20.00000;-17.35030;
6/28/2017 11:32:32 PM;52;EIS;14:20:03.842;00:05:42.567;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;1.89737;2.00000;-2.00000;20.00000;10.00000;29.00000;16.00000;3.87140;106.20252;-49.99648;1.89873;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.08095;0.09209;117.38238;-25.20944;-20.00000;-20.00000;-17.35030;
6/28/2017 11:32:44 PM;52;EIS;14:20:15.084;00:05:53.809;2;1;Pan_5pulse_EIS_0dC;3.87966;0.00000;-0.58002;;0.00100;6000.00000;1.42282;2.00000;-2.00000;20.00000;10.00000;30.00000;16.00000;3.87272;114.40212;-55.63854;1.42045;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.08376;0.08519;127.21435;-25.93560;-20.00000;-20.00000;-17.35030;
6/28/2017 11:32:56 PM;52;EIS;14:20:27.152;00:06:05.877;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;1.06697;2.00000;-2.00000;20.00000;10.00000;31.00000;16.00000;3.87585;123.70116;-62.04250;1.06838;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.08756;0.07859;138.38803;-26.63612;-20.00000;-20.00000;-17.36151;
6/28/2017 11:33:08 PM;52;EIS;14:20:39.221;00:06:17.946;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;0.80011;2.00000;-2.00000;20.00000;10.00000;32.00000;16.00000;3.87199;134.29724;-69.44878;0.79957;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.09248;0.07226;151.19154;-27.34472;-20.00000;-20.00000;-17.35030;
6/28/2017 11:33:19 PM;52;EIS;14:20:50.837;00:06:29.562;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;0.60000;2.00000;-2.00000;20.00000;10.00000;33.00000;16.00000;3.87562;146.59251;-77.52518;0.59904;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.09655;0.06613;165.82979;-27.87204;-20.00000;-20.00000;-17.35030;
6/28/2017 11:33:30 PM;52;EIS;14:21:01.701;00:06:40.426;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;0.44994;2.00000;-2.00000;20.00000;10.00000;34.00000;16.00000;3.88210;160.78421;-85.52275;0.44964;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.09858;0.06032;182.11454;-28.00896;-20.00000;-20.00000;-17.35030;
6/28/2017 11:33:41 PM;52;EIS;14:21:12.048;00:06:50.773;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;0.33740;2.00000;-2.00000;20.00000;10.00000;35.00000;16.00000;3.87549;177.49928;-92.33588;0.33723;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.09843;0.05490;200.07976;-27.48364;-20.00000;-20.00000;-17.35030;
6/28/2017 11:33:54 PM;52;EIS;14:21:25.718;00:07:04.443;2;1;Pan_5pulse_EIS_0dC;3.88030;0.00000;-0.58002;;0.00100;6000.00000;0.25302;2.00000;-2.00000;20.00000;10.00000;36.00000;16.00000;3.87531;200.63281;-96.15821;0.25270;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.11200;0.04998;222.48579;-25.60722;-20.00000;-20.00000;-17.35030;
6/28/2017 11:34:12 PM;52;EIS;14:21:43.643;00:07:22.368;2;1;Pan_5pulse_EIS_0dC;3.88094;0.00000;-0.58002;;0.00100;6000.00000;0.18974;2.00000;-2.00000;20.00000;10.00000;37.00000;16.00000;3.87738;223.95052;-95.93283;0.18978;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.09512;0.04495;243.63280;-23.18865;-20.00000;-20.00000;-17.36151;
6/28/2017 11:34:35 PM;52;EIS;14:22:06.255;00:07:44.980;2;1;Pan_5pulse_EIS_0dC;3.88094;0.00000;-0.58002;;0.00100;6000.00000;0.14228;2.00000;-2.00000;20.00000;10.00000;38.00000;16.00000;3.88237;246.63481;-91.32172;0.14248;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.07937;0.04104;262.99883;-20.31813;-20.00000;-20.00000;-17.35030;
6/28/2017 11:35:05 PM;52;EIS;14:22:36.369;00:08:15.094;2;1;Pan_5pulse_EIS_0dC;3.88094;0.00000;-0.58002;;0.00100;6000.00000;0.10670;2.00000;-2.00000;20.00000;10.00000;39.00000;16.00000;3.87859;268.28063;-83.33664;0.10678;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06801;0.03802;280.92613;-17.25649;-20.00000;-20.00000;-17.36151;
6/28/2017 11:35:44 PM;52;EIS;14:23:15.518;00:08:54.243;2;1;Pan_5pulse_EIS_0dC;3.88159;0.00000;-0.58002;;0.00100;6000.00000;0.08001;2.00000;-2.00000;20.00000;10.00000;40.00000;16.00000;3.87999;285.33581;-74.14738;0.07999;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04922;0.03559;294.81241;-14.56671;-20.00000;-20.00000;-17.36151;
6/28/2017 11:36:36 PM;52;EIS;14:24:07.392;00:09:46.117;2;1;Pan_5pulse_EIS_0dC;3.88223;0.00000;-0.58002;;0.00100;6000.00000;0.06000;2.00000;-2.00000;20.00000;10.00000;41.00000;16.00000;3.88164;299.48372;-64.83011;0.05994;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03958;0.03393;306.42036;-12.21452;-20.00000;-20.00000;-17.36151;
6/28/2017 11:37:44 PM;52;EIS;14:25:15.418;00:10:54.143;2;1;Pan_5pulse_EIS_0dC;3.88223;0.00000;-0.58002;;0.00100;6000.00000;0.04499;2.00000;-2.00000;20.00000;10.00000;42.00000;16.00000;3.88236;309.63570;-56.80530;0.04507;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02746;0.03264;314.80328;-10.39580;-20.00000;-20.00000;-17.35030;
6/28/2017 11:39:15 PM;52;EIS;14:26:46.036;00:12:24.761;2;1;Pan_5pulse_EIS_0dC;3.88287;0.00000;-0.58002;;0.00100;6000.00000;0.03374;2.00000;-2.00000;20.00000;10.00000;43.00000;16.00000;3.88409;319.16174;-50.43197;0.03377;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02553;0.03174;323.12165;-8.97928;-20.00000;-20.00000;-17.36151;
6/28/2017 11:41:15 PM;52;EIS;14:28:46.802;00:14:25.527;2;1;Pan_5pulse_EIS_0dC;3.88416;0.00000;-0.58002;;0.00100;6000.00000;0.02530;2.00000;-2.00000;20.00000;10.00000;44.00000;16.00000;3.88610;326.07850;-46.03230;0.02531;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02058;0.03099;329.31165;-8.03531;-20.00000;-20.00000;-17.36151;
6/28/2017 11:43:55 PM;52;EIS;14:31:26.740;00:17:05.465;2;1;Pan_5pulse_EIS_0dC;3.88545;0.00000;-0.58002;;0.00100;6000.00000;0.01897;2.00000;-2.00000;20.00000;10.00000;45.00000;16.00000;3.88718;333.78029;-43.74301;0.01896;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02088;0.03033;336.63442;-7.46625;-20.00000;-20.00000;-17.36151;
6/28/2017 11:47:28 PM;52;EIS;14:34:59.767;00:20:38.492;2;1;Pan_5pulse_EIS_0dC;3.88674;0.00000;-0.58002;;0.00100;6000.00000;0.01423;2.00000;-2.00000;20.00000;10.00000;46.00000;16.00000;3.88820;341.42920;-43.17416;0.01422;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02317;0.02973;344.14809;-7.20687;-20.00000;-20.00000;-17.35030;
6/28/2017 11:52:12 PM;52;EIS;14:39:43.079;00:25:21.804;2;1;Pan_5pulse_EIS_0dC;3.88867;0.00000;-0.58002;;0.00100;6000.00000;0.01067;2.00000;-2.00000;20.00000;10.00000;47.00000;16.00000;3.89015;350.10126;-44.59381;0.01065;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02535;0.02905;352.92988;-7.25891;-20.00000;-20.00000;-17.36151;
6/28/2017 11:58:28 PM;52;EIS;14:45:59.914;00:31:38.639;2;1;Pan_5pulse_EIS_0dC;3.89060;0.00000;-0.58002;;0.00100;6000.00000;0.00800;2.00000;-2.00000;20.00000;10.00000;48.00000;16.00000;3.89258;360.16822;-47.56844;0.00800;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.02871;0.02832;363.29589;-7.52367;-20.00000;-20.00000;-17.36151;
6/29/2017 12:06:51 AM;52;EIS;14:54:22.048;00:40:00.773;2;1;Pan_5pulse_EIS_0dC;3.89381;0.00000;-0.58002;;0.00100;6000.00000;0.00600;2.00000;-2.00000;20.00000;10.00000;49.00000;16.00000;3.89582;373.09229;-52.05056;0.00600;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.03749;0.02754;376.70562;-7.94214;-20.00000;-20.00000;-17.36151;
6/29/2017 12:18:00 AM;52;EIS;15:05:31.904;00:51:10.629;2;1;Pan_5pulse_EIS_0dC;3.89703;0.00000;-0.58002;;0.00100;6000.00000;0.00450;2.00000;-2.00000;20.00000;10.00000;50.00000;16.00000;3.89914;387.90727;-58.82370;0.00449;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.04217;0.02656;392.34204;-8.62285;-20.00000;-20.00000;-17.36151;
6/29/2017 12:32:52 AM;52;EIS;15:20:23.328;01:06:02.053;2;1;Pan_5pulse_EIS_0dC;3.90153;0.00000;-0.58002;;0.00100;6000.00000;0.00337;2.00000;-2.00000;20.00000;10.00000;51.00000;16.00000;3.90356;406.98460;-68.29993;0.00338;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05076;0.02546;412.67583;-9.52658;-20.00000;-20.00000;-17.36151;
6/29/2017 12:52:38 AM;52;EIS;15:40:09.893;01:25:48.618;2;1;Pan_5pulse_EIS_0dC;3.90668;0.00000;-0.58002;;0.00100;6000.00000;0.00253;2.00000;-2.00000;20.00000;10.00000;52.00000;16.00000;3.90875;428.55373;-81.76271;0.00253;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.05765;0.02424;436.28367;-10.80151;-20.00000;-20.00000;-17.36151;
6/29/2017 1:19:03 AM;52;EIS;16:06:34.034;01:52:12.759;2;1;Pan_5pulse_EIS_0dC;3.91311;0.00000;-0.58002;;0.00100;6000.00000;0.00190;2.00000;-2.00000;20.00000;10.00000;53.00000;16.00000;3.91450;455.31911;-99.72358;0.00190;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06755;0.02290;466.11188;-12.35380;-20.00000;-20.00000;-17.35030;
6/29/2017 1:54:12 AM;52;EIS;16:41:43.337;02:27:22.062;2;1;Pan_5pulse_EIS_0dC;3.91762;0.00000;-0.58002;;0.00100;6000.00000;0.00142;2.00000;-2.00000;20.00000;10.00000;54.00000;16.00000;3.91979;484.82668;-120.16074;0.00142;0.00000;0.02000;10.00000;3.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.06755;0.02147;499.49526;-13.91985;-20.00000;-20.00000;-17.55205;
